Source sentence,Answer sentence
replace entity to label : Fluxes between fractured-karstified and detritic aquifers are commonly poorly understood in many environments .,replaced sentence is : Fluxes between fractured-karstified and AquiferType are commonly poorly understood in many environments .
"replace entity to label : In this study , hydrochemical characteristics and factors influencing As distribution and release were investigated in Prayagpur , Southwestern Bangladesh .","replaced sentence is : In this study , hydrochemical characteristics and factors influencing As distribution and release were investigated in Location , Location ."
"replace entity to label : The detailed study , carried out in October 2015 , covered the Draa river valley ( 1100 km total length ) in the region of the Mhamid Oasis .","replaced sentence is : The detailed study , carried out in October 2015 , covered the Location ( 1100 km total length ) in the region of the Location ."
"replace entity to label : Water-rock interactions include silicate weathering , carbonate dissolution , halite dissolution and sulfate dissolution .","replaced sentence is : Water-rock interactions include silicate weathering , carbonate dissolution , halite dissolution and sulfate dissolution ."
"replace entity to label : As compared to deep aquifers , shallow aquifer groundwaters are more polluted and have high concentration of NO3 ( - ) .",replaced sentence is : As compared to GroundwaterType are more polluted and have high concentration of NO3 ( - ) .
replace entity to label : The elevation of the recharge areas range between 600 and 800 m a.s.l confirming the Aurunci karst aquifer is feeding Mazzoccolo spring .,replaced sentence is : The elevation of the recharge areas range between 600 and 800 m a.s.l confirming the AquiferType is feeding Location .
"replace entity to label : Cretaceous trans-boundary aquifers in the central and northern parts of Sinai ( Egypt ) and the Negev ( Israel ) , are geographically and geologically both contiguous and continuous .","replaced sentence is : AquiferType in the Location ( Location ) and the Location ( Location ) , are geographically and geologically both contiguous and continuous ."
"replace entity to label : Calcium chloride type is developed when the intruded sea water , very rich in Na ions , forced through the aquifer materials , and part of these cations replaced the Ca at the exchange sites of the clay minerals .","replaced sentence is : HydrochemicalType type is developed when the intruded sea water , very rich in Na ions , forced through the aquifer materials , and part of these cations replaced the Ca at the exchange sites of the clay minerals ."
"replace entity to label : The aquifer is Na-Cl dominant in the shallowest part , Ca-HCO3 dominant in the middle and again Na-Cl dominant at the bottom .","replaced sentence is : The aquifer is HydrochemicalType dominant in the shallowest part , HydrochemicalType dominant in the middle and again HydrochemicalType dominant at the bottom ."
"replace entity to label : The isotopic variation observed in the superficial aquifer was found to be controlled by the different lithologies present , i.e .","replaced sentence is : The isotopic variation observed in the AquiferType was found to be controlled by the different lithologies present , i.e ."
replace entity to label : Mass balance models ( PHREEQC ) were used to interpret and rectify the geochemical properties of the aquifer .,replaced sentence is : Mass balance models ( PHREEQC ) were used to interpret and rectify the geochemical properties of the aquifer .
"replace entity to label : In August 2008 , a total of 39 groundwaters were collected , and major chemical ions were measured in order to reveal the hydrochemical component and geochemical processes and groundwater movement in the Heihe River Basin , northwest China .","replaced sentence is : In August 2008 , a total of 39 groundwaters were collected , and major chemical ions were measured in order to reveal the hydrochemical component and geochemical processes and groundwater movement in the Location , Location ."
replace entity to label : The unconfined ground water to the north becomes confined to the south .,replaced sentence is : The GroundwaterType to the north becomes confined to the south .
"replace entity to label : In fact , it was found that the first and second groups of wells which are located in the coastal fringe are characterized by high concentration of sodium and chloride and EC values whereas lower values are found in the third group that is located in upstream .","replaced sentence is : In fact , it was found that the first and second groups of wells which are located in the coastal fringe are characterized by high concentration of sodium and chloride and EC values whereas lower values are found in the third group that is located in upstream ."
"replace entity to label : Both Sr and I prove useful indicators of groundwater esidence times , and I / Cl ratios characterize two sources of saline waters .","replaced sentence is : Both Sr and I prove useful indicators of groundwater esidence times , and I / Cl ratios characterize two sources of saline waters ."
replace entity to label : The groundwater which shows both local and regional flow regimes gets older towards the basins` margin with coeval enrichment in F- and depletion in NO3 ( - ) .,replaced sentence is : The groundwater which shows both local and regional flow regimes gets older towards the basins` margin with coeval enrichment in F- and depletion in NO3 ( - ) .
replace entity to label : Groundwater in the study area occurs in the alluvial aquifers and has an intense agricultural production .,replaced sentence is : Groundwater in the study area occurs in the AquiferType and has an intense agricultural production .
"replace entity to label : However , no enrichment of delta N-15 and delta O-18 in nitrate , typical for microbial nitrate degradation , is observed in the lake water .","replaced sentence is : However , no enrichment of delta N-15 and delta O-18 in nitrate , typical for microbial nitrate degradation , is observed in the lake water ."
replace entity to label : Interpretation of analytical data shows two major hydrochemical facies ( Na+-K+-Cl -- SO4 ( 2- ) and Na+-K+-HCO3 ( - ) ) in the study area .,replaced sentence is : Interpretation of analytical data shows two major hydrochemical facies ( HydrochemicalType ( 2- ) and HydrochemicalType ( - ) ) in the study area .
replace entity to label : Water samples were taken and chemically analyzed at 29 sites .,replaced sentence is : Water samples were taken and chemically analyzed at 29 sites .
"replace entity to label : The dominant anion species changes from HCO3- in front of the mountains to SO42- in the middle basin and Cl- at the basin boundary along the groundwater flow direction , and TDS increases gradually owing to evaporation .","replaced sentence is : The dominant anion species changes from HCO3- in front of the mountains to SO42- in the middle basin and Cl- at the basin boundary along the groundwater flow direction , and TDS increases gradually owing to evaporation ."
replace entity to label : It was observed that the mixing between freshwater-seawater created diversity in geochemical processes of the Manukan Island's aquifer and altered the freshwater and seawater mixture away from the theoretical composition line .,replaced sentence is : It was observed that the mixing between freshwater-seawater created diversity in geochemical processes of the AquiferType and altered the freshwater and seawater mixture away from the theoretical composition line .
replace entity to label : Isotope and chemical data were used to analyze the hydrochemical evolution of Ordovician groundwater in the research area .,replaced sentence is : Isotope and chemical data were used to analyze the hydrochemical evolution of GroundwaterType in the research area .
"replace entity to label : In fact , a positive correlation emerges between non-marine sulphate and alkalinity / pH , suggesting dominantly lithological sources for non-marine sulphate .","replaced sentence is : In fact , a positive correlation emerges between non-marine sulphate and alkalinity / pH , suggesting dominantly lithological sources for non-marine sulphate ."
"replace entity to label : The first is passive multi-level sampling , using dialysis membrane diffusion samplers .","replaced sentence is : The first is passive multi-level sampling , using dialysis membrane diffusion samplers ."
"replace entity to label : The groundwater in the mining area was strongly affected by human activity , deep groundwater mixing effect , and water-rock interaction associated with mining activities .","replaced sentence is : The groundwater in the mining area was strongly affected by human activity , deep groundwater mixing effect , and water-rock interaction associated with mining activities ."
replace entity to label : Shallow aquifer displays higher Rn-222 concentration ( 677 to 2903 Bq / m ( 3 ) ) .,replaced sentence is : AquiferType displays higher Rn-222 concentration ( 677 to 2903 Bq / m ( 3 ) ) .
replace entity to label : Enrichment of major ions in groundwater is due to weathering of feldspathic and ferro-magnesian minerals by percolating water .,replaced sentence is : Enrichment of major ions in groundwater is due to weathering of feldspathic and ferro-magnesian minerals by percolating water .
replace entity to label : Goals .,replaced sentence is : Goals .
"replace entity to label : Due to the mixture in the aquifer , major ions leached from soil of the proluvial fan are diluted and the hydrochemical pattern is changed from Ca center dot Mg-HCO3 center dot SO4 to Ca center dot Mg-HCO3 .","replaced sentence is : Due to the mixture in the aquifer , major ions leached from soil of the proluvial fan are diluted and the hydrochemical pattern is changed from HydrochemicalType to HydrochemicalType ."
"replace entity to label : , 2020 ) for identifying potential effects of groundwater bodies on groundwater dependent terrestrial ecosystems ( GDTE ) .","replaced sentence is : , 2020 ) for identifying potential effects of groundwater bodies on groundwater dependent terrestrial ecosystems ( GDTE ) ."
replace entity to label : The fractured shaly limestone and fractured limestone layers were the main aquifer and their resistivity changed from low to medium ( 11-93 abroken vertical bar m ) .,replaced sentence is : The fractured shaly RockType and fractured RockType layers were the main aquifer and their resistivity changed from low to medium ( 11-93 abroken vertical bar m ) .
"replace entity to label : It pertains to Ca2+-Mg2+-HCO3- , mixed , and Na+-Cl- hydrochemical facies .","replaced sentence is : It pertains to HydrochemicalType , mixed , and HydrochemicalType hydrochemical facies ."
"replace entity to label : The low concentrations of major cations in the urban areas can be attributed to low mineral dissolution of quartzite and muscovite quartz-schist bedrocks compared to the weathered granitic , amphibolite and biotite schist in the pen-urban areas .","replaced sentence is : The low concentrations of major cations in the urban areas can be attributed to low mineral dissolution of RockType and RockType compared to the weathered RockType , RockType and RockType in the pen-urban areas ."
"replace entity to label : Results showed that the interaction of water with geological formations , mainly Cretaceous carbonate rocks , loams and evaporation , was the predominant natural factor that influenced surface and groundwater chemistry .","replaced sentence is : Results showed that the interaction of water with geological formations , mainly GeologicAge RockType , loams and evaporation , was the predominant natural factor that influenced surface and groundwater chemistry ."
replace entity to label : A Piper diagram indicates that groundwater is of a Cl-SO4-Ca water type .,replaced sentence is : A Piper diagram indicates that groundwater is of a HydrochemicalType water type .
replace entity to label : Elevated content of Na and Cl is associated with the dissolution of marine sediments and saltwater intrusion .,replaced sentence is : Elevated content of Na and Cl is associated with the dissolution of marine sediments and saltwater intrusion .
replace entity to label : Cluster 1 relates to physical / external influence .,replaced sentence is : Cluster 1 relates to physical / external influence .
"replace entity to label : Ultrabasic rocks enrich groundwater with magnesium while intense hydrothermal activity and extensive alteration zones , which exist locally as a result of a recent volcanic activity , are associated with the existence of sulphate type groundwater and acidic pH in some areas .","replaced sentence is : RockType enrich groundwater with magnesium while intense hydrothermal activity and extensive alteration zones , which exist locally as a result of a recent volcanic activity , are associated with the existence of sulphate type groundwater and acidic pH in some areas ."
"replace entity to label : The results indicate that groundwater in the study area showed wide ranges and high standard deviations for most of hydrochemical parameters and can be classified into two hydrochemical facies , Ca2+-Mg2+-Cl- facies and Na+-Cl- facies .","replaced sentence is : The results indicate that groundwater in the study area showed wide ranges and high standard deviations for most of hydrochemical parameters and can be classified into two hydrochemical facies , HydrochemicalType facies and HydrochemicalType facies ."
replace entity to label : The fen is situated on a thick sandy aquifer in a region that is known for its acid soils .,replaced sentence is : The fen is situated on a thick AquiferType in a region that is known for its acid soils .
"replace entity to label : The Piper diagram characterise four water types , namely Ca-HCO3 , Ca-Cl , Mg-HCO3 and Mg-Cl accounting for 44.4 , 31.1 , 20 and 4.4 per cent respectively .","replaced sentence is : The Piper diagram characterise four water types , namely HydrochemicalType , HydrochemicalType , HydrochemicalType and HydrochemicalType accounting for 44.4 , 31.1 , 20 and 4.4 per cent respectively ."
"replace entity to label : In order to estimate tile vertical contaminant distributions in a chalk aquifer , two sampling techniques are used in the piezometers .","replaced sentence is : In order to estimate tile vertical contaminant distributions in a AquiferType , two sampling techniques are used in the piezometers ."
"replace entity to label : In this valley , four hydrochemical facies were identified that correspond to the Ca-Na + K-HCO3 , Na + K-Ca-HCO3 , Ca-HCO3 and Ca-SO4 types .","replaced sentence is : In this valley , four hydrochemical facies were identified that correspond to the HydrochemicalType , HydrochemicalType , HydrochemicalType and HydrochemicalType types ."
replace entity to label : Major ionic relationships indicate that weathering reactions have insignificant role in the hydrochemical processes of the shallow groundwater system .,replaced sentence is : Major ionic relationships indicate that weathering reactions have insignificant role in the hydrochemical processes of the GroundwaterType system .
replace entity to label : Surficial mineral crusts on the Graneros Shale consist only of gypsum with included clay minerals and quartz derived from the underlying shale .,replaced sentence is : Surficial mineral crusts on the RockType consist only of gypsum with included clay minerals and quartz derived from the underlying shale .
replace entity to label : There are five misjudged samples in the discriminant model due to hydraulic connections with the Quaternary aquifer and carboniferous aquifer in some areas .,replaced sentence is : There are five misjudged samples in the discriminant model due to hydraulic connections with the AquiferType and AquiferType in some areas .
replace entity to label : The presence of nitrate and chloride contents in pore water reduced the resistivity values despite the low moisture content .,replaced sentence is : The presence of nitrate and chloride contents in GroundwaterType reduced the resistivity values despite the low moisture content .
"replace entity to label : The Permian aquifer contains less SO42- , more HCO3- concentration , and a concentration ratio of SO42- to HCO3- less than 0.25 due to sulfate reduction , which allows the Permian aquifer to be distinguished easily from the other two .","replaced sentence is : The AquiferType contains less SO42- , more HCO3- concentration , and a concentration ratio of SO42- to HCO3- less than 0.25 due to sulfate reduction , which allows the AquiferType to be distinguished easily from the other two ."
"replace entity to label : , indicate a common infiltration event of surface water during the late Pleistocene period .","replaced sentence is : , indicate a common infiltration event of surface water during the GeologicAge period ."
replace entity to label : This is interpreted as evidence for additional non-brine salinization input probably from the surrounding sediments of the Lisan Formation .,replaced sentence is : This is interpreted as evidence for additional non-brine salinization input probably from the surrounding sediments of the StratigraphicGroupType .
replace entity to label : The major ionic content of 39 groundwater samples collected from the Quaternary aquifer shows high coefficients of variation reflecting asymmetry of aquifer recharge .,replaced sentence is : The major ionic content of 39 groundwater samples collected from the AquiferType shows high coefficients of variation reflecting asymmetry of aquifer recharge .
"replace entity to label : The higher As concentrations were found in Khardung volcanics followed by Ophiolitic melange , Dras volcanics , Nindam sandstone , and Nindam Shale .","replaced sentence is : The higher As concentrations were found in RockType followed by RockType , RockType , RockType , and RockType ."
"replace entity to label : Connectivity of groundwater flow within crystalline-rock aquifers controls the sustainability of abstraction and baseflow to rivers , yet is often poorly constrained at a catchment scale .","replaced sentence is : Connectivity of groundwater flow within AquiferType controls the sustainability of abstraction and baseflow to rivers , yet is often poorly constrained at a catchment scale ."
"replace entity to label : Hydrochemical and isotopic ( O-18 , H-3 , C-13 and C-14 ) data are merged with known details of geology and hydrogeology to reveal two separate confined aquifers within the depth range to 200 m .","replaced sentence is : Hydrochemical and isotopic ( O-18 , H-3 , C-13 and C-14 ) data are merged with known details of geology and hydrogeology to reveal two separate AquiferType within the depth range to 200 m ."
"replace entity to label : Groundwater samples can be divided into thirty-six and nineteen groups for shallow and deep groundwater , respectively .","replaced sentence is : Groundwater samples can be divided into thirty-six and nineteen groups for GroundwaterType , respectively ."
"replace entity to label : An intrapermafrost aquifer system , which is widespread in the sand deposits of bestyakhskaya terrace of the Lena R .","replaced sentence is : An AquiferType system , which is widespread in the sand deposits of bestyakhskaya terrace of the Lena R ."
replace entity to label : Alpine karst aquifers control the availability and longevity of some water resources .,replaced sentence is : Alpine AquiferType control the availability and longevity of some water resources .
"replace entity to label : No groundwaters from Quaternary deposits exceed maximum recommended concentrations for Rn , F- and Na , while 10% fall outside the required pH range .","replaced sentence is : No groundwaters from GeologicAge deposits exceed maximum recommended concentrations for Rn , F- and Na , while 10% fall outside the required pH range ."
"replace entity to label : The hydrochemical facies a and b dominate within shallow depths in recharge areas under rapid flow conditions , while hydrochemical facies c characterizes shallow and mixed groundwater .","replaced sentence is : The hydrochemical facies a and b dominate within shallow depths in recharge areas under rapid flow conditions , while hydrochemical facies c characterizes GroundwaterType ."
"replace entity to label : Results show that arsenic is locally mobilized in the Chalk to <10 mu g / l , in Quaternary gravels to 70 mu g / l and in the Triassic sandstones to 160 mu g / l .","replaced sentence is : Results show that arsenic is locally mobilized in the GeologicAge to <10 mu g / l , in GeologicAge gravels to 70 mu g / l and in the GeologicAge RockType to 160 mu g / l ."
"replace entity to label : Fluoride is also present in high As groundwater , ranging between 0.40 and 3.36 mg / l .","replaced sentence is : Fluoride is also present in GroundwaterType , ranging between 0.40 and 3.36 mg / l ."
"replace entity to label : Four lithotypes formed from the sediments include black , carbon-rich laminated mudstone , dark-gray laminated mudstone , light-gray massive mudstone , and red massive mudstone .","replaced sentence is : Four lithotypes formed from the sediments include black , carbon-rich laminated RockType , dark-gray laminated RockType , light-gray massive RockType , and red massive RockType ."
replace entity to label : The C-14 modelling resulted in residence times ranging from Holocene to Pleistocene ( few hundred years to over 40 ka ) and yielded consistent results within the uncertainty estimation .,replaced sentence is : The C-14 modelling resulted in residence times ranging from GeologicAge to GeologicAge ( few hundred years to over 40 ka ) and yielded consistent results within the uncertainty estimation .
replace entity to label : ( 1 ) The shallow groundwater characterized by low ionic concentration and in places CO enriched younger waters ; and ( 2 ) The deep thermal waters with relatively older age showing negative ( 18 ) Oshifts and higher ionic concentration .,replaced sentence is : ( 1 ) The GroundwaterType characterized by low ionic concentration and in places CO enriched younger waters ; and ( 2 ) The GroundwaterType with relatively older age showing negative ( 18 ) Oshifts and higher ionic concentration .
replace entity to label : Umm Er Radhuma groundwater is saturated with respect to calcite but unsaturated for anhydrite in the northern part of the study area .,replaced sentence is : GroundwaterType is saturated with respect to calcite but unsaturated for anhydrite in the northern part of the study area .
replace entity to label : Comprehensive hydrochemical analysis methods are adopted to determine the dominant factors controlling the chemical evolution of the local phreatic groundwater and the potential impact of human activities on groundwater quality .,replaced sentence is : Comprehensive hydrochemical analysis methods are adopted to determine the dominant factors controlling the chemical evolution of the local GroundwaterType and the potential impact of human activities on groundwater quality .
replace entity to label : The hydrochemical and multivariate statistical techniques such as the principal component analysis ( PCA ) and the cluster analysis ( CA ) were used to identify the hydrochemical processes and their relation with groundwater quality and also to get an insight into the hydrochemical Zana aquifer groundwater chemistry evaluation .,replaced sentence is : The hydrochemical and multivariate statistical techniques such as the principal component analysis ( PCA ) and the cluster analysis ( CA ) were used to identify the hydrochemical processes and their relation with groundwater quality and also to get an insight into the hydrochemical GroundwaterType chemistry evaluation .
"replace entity to label : Samples from Schist and Triassic sediments are relatively more mineralised , thus unsuitable for drinking as well as agricultural purposes .","replaced sentence is : Samples from Schist and GeologicAge sediments are relatively more mineralised , thus unsuitable for drinking as well as agricultural purposes ."
"replace entity to label : while for individual sources , 73% of shallow-groundwater samples ( F- concentration up to 6.4 mg / L ) , 42% of mid-depth-groundwater samples , and 17% of deep-groundwater samples had F- concentrations that exceeded this permissible limit .","replaced sentence is : while for individual sources , 73% of GroundwaterType samples ( F- concentration up to 6.4 mg / L ) , 42% of GroundwaterType samples , and 17% of GroundwaterType samples had F- concentrations that exceeded this permissible limit ."
"replace entity to label : i ) post-seismic groundwater of Tempera spring group was more mineralised and richer in Rn-222 than the pre-seismic one ; ii ) transient changes in pH and calcite saturation index involve the whole aquifer , moving from Tempera springs and spreading from the recharge to discharge areas , causing changes in groundwater hydrochemistry ; iii ) post-seismic gradual return to previous hydrochemical equilibrium .","replaced sentence is : i ) post-seismic groundwater of StratigraphicGroupType was more mineralised and richer in Rn-222 than the pre-seismic one ; ii ) transient changes in pH and calcite saturation index involve the whole aquifer , moving from Tempera springs and spreading from the recharge to discharge areas , causing changes in groundwater hydrochemistry ; iii ) post-seismic gradual return to previous hydrochemical equilibrium ."
replace entity to label : The Cambrian-Ordovician carbonate outcrops form the main recharge area of this aquifer system with a recharge rate estimated from two methods up to 48 to 64 mm per year .,replaced sentence is : The GeologicAge carbonate outcrops form the main recharge area of this aquifer system with a recharge rate estimated from two methods up to 48 to 64 mm per year .
replace entity to label : The isotopic analysis of some groundwater samples shows a similarity with the meteoric waters reflect their short residence time and a lowest evaporation phenomenon of infiltrated groundwater .,replaced sentence is : The isotopic analysis of some groundwater samples shows a similarity with the meteoric waters reflect their short residence time and a lowest evaporation phenomenon of GroundwaterType .
replace entity to label : Urban and rural areas rely on groundwater from the upper levels of a deep basin sequence comprising marine and terrestrial sediments of Pleistocene age .,replaced sentence is : Urban and rural areas rely on groundwater from the upper levels of a deep basin sequence comprising marine and terrestrial sediments of GeologicAge age .
replace entity to label : It was found that the evaporate within the Triassic rocks are the main contributors to the salinization of groundwater .,replaced sentence is : It was found that the evaporate within the GeologicAge rocks are the main contributors to the salinization of groundwater .
"replace entity to label : Sedimentary bedrock at the NAWC research site comprises the Skunk Hollow , Byram , and Ewing Creek Members of the Lockatong Formation and Raven Rock Member of the Stockton Formation .","replaced sentence is : Sedimentary bedrock at the NAWC research site comprises the Skunk Hollow , Byram , and Ewing Creek Members of the StratigraphicGroupType and Raven Rock Member of the StratigraphicGroupType ."
"replace entity to label : Using Rn-222 as part of the signatures , EMMA helped to identify end-member samples , and to quantify the mixing proportions of water from the Triassic and the Deep Miocene layers in groundwater pumped by deep agricultural wells screened in the Jurassic .","replaced sentence is : Using Rn-222 as part of the signatures , EMMA helped to identify end-member samples , and to quantify the mixing proportions of water from the GeologicAge and the GeologicAge layers in groundwater pumped by deep agricultural wells screened in the GeologicAge ."
"replace entity to label : The highest concentrations of major ions were found in the central region , where the most karstified area from the Sete Lagoas Formation is located .","replaced sentence is : The highest concentrations of major ions were found in the central region , where the most karstified area from the StratigraphicGroupType is located ."
replace entity to label : The maturation of mineral crusts on the Dakota Formation involves the dehydration of hydrous Fe ( 3+ ) and Al minerals .,replaced sentence is : The maturation of mineral crusts on the StratigraphicGroupType involves the dehydration of hydrous Fe ( 3+ ) and Al minerals .
"replace entity to label : Results from hydrochemical analyses reveal that groundwater is mostly affected by salty ( Na+-Cl- ) waters of the Incik Formation and brackish ( Ca2+ , Mg2+-SO42- ) waters of the Baydur Formation .","replaced sentence is : Results from hydrochemical analyses reveal that groundwater is mostly affected by salty ( Na+-Cl- ) waters of the StratigraphicGroupType and brackish ( Ca2+ , Mg2+-SO42- ) waters of the StratigraphicGroupType ."
replace entity to label : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during Middle Holocene to Recent age .,replaced sentence is : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during GeologicAge to Recent age .
replace entity to label : A common orientation has been established between traced groundwater flow routes and the dominant northwest southeast fracture trend within the Ulster White Limestone Formation .,replaced sentence is : A common orientation has been established between traced groundwater flow routes and the dominant northwest southeast fracture trend within the StratigraphicGroupType .
replace entity to label : Anhydrite / gypsum ( and by inference celestite ) are common in impact ejecta clasts and in beds and cements of overlying Paleocene and Lower Eocene rocks cored around the margin of the crater .,replaced sentence is : Anhydrite / gypsum ( and by inference celestite ) are common in impact ejecta clasts and in beds and cements of overlying GeologicAge and GeologicAge rocks cored around the margin of the crater .
"replace entity to label : Hydrologically speaking , the aquifer unit is composed of the Punta Medanos Formation , the Mar de Ajo Facies and the upper section of the Destacamento Rio Salado Facies , while the clayey levels act as an aquitard / aquiclude .","replaced sentence is : Hydrologically speaking , the aquifer unit is composed of the StratigraphicGroupType , the Mar de Ajo Facies and the upper section of the Destacamento Rio Salado Facies , while the clayey levels act as an aquitard / aquiclude ."
"replace entity to label : To investigate these phenomena , samples from solid drill cores and rock cuttings were collected from the Hawthorn Group , Suwannee Limestone , Ocala Limestone and Avon Park Formation .","replaced sentence is : To investigate these phenomena , samples from solid drill cores and rock cuttings were collected from the StratigraphicGroupType , StratigraphicGroupType ."
"replace entity to label : From a geological point of view , the study area is characterized by the formation of sedimentary outcrops which predominantly corresponds to Mio-Plio-Quaternary formations .","replaced sentence is : From a geological point of view , the study area is characterized by the formation of sedimentary outcrops which predominantly corresponds to StratigraphicGroupType ."
replace entity to label : Two water-bearing layers exist in the study area : the Nubian Sandstone Formation and the Al-Atshan Formation .,replaced sentence is : Two water-bearing layers exist in the study area : the StratigraphicGroupType and the StratigraphicGroupType .
"replace entity to label : The results show that geologically the study location is an area located in three types of geological formations , namely the Idi Formation , Young Alluvium , and the Olim Volcano .","replaced sentence is : The results show that geologically the study location is an area located in three types of geological formations , namely the StratigraphicGroupType , Young Alluvium , and the Olim Volcano ."
replace entity to label : The aquifer system is more complex than presumed as the hydrochemical and stable isotope compositions of groundwater samples in the Middle-Upper Pleistocene ( qp ( 2-3 ) ) aquifer differ significantly in lateral direction .,replaced sentence is : The aquifer system is more complex than presumed as the hydrochemical and stable isotope compositions of groundwater samples in the GeologicAge ( qp ( 2-3 ) ) aquifer differ significantly in lateral direction .
replace entity to label : The presence of an extended carbonate formation in the north-west and the appearance of magnesite in the north lead to high concentrations of Ca and Mg in the groundwaters of the study area .,replaced sentence is : The presence of an extended StratigraphicGroupType in the north-west and the appearance of magnesite in the north lead to high concentrations of Ca and Mg in the groundwaters of the study area .
replace entity to label : quartz-rich Bassendean Sand and carbonate-rich sediments of the Ascot Formation .,replaced sentence is : quartz-rich Bassendean Sand and carbonate-rich sediments of the StratigraphicGroupType .
"replace entity to label : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and Holocene age , and late Pleistocene age , with a mixing zone .","replaced sentence is : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and GeologicAge age , and GeologicAge age , with a mixing zone ."
replace entity to label : This work aims to evaluate the hydrochemical characteristics of an aquifer located between carbonated formations and salt lake ( Garaat Ettarf ) .,replaced sentence is : This work aims to evaluate the hydrochemical characteristics of an aquifer located between StratigraphicGroupType and salt lake ( Garaat Ettarf ) .
"replace entity to label : The findings suggest that in certain situations after tunnel excavation , depending on geological and changing hydraulic conditions , the excavation damaged zone around the tunnel provides a hydraulic short circuit between the weathered Gipskeuper and the anhydrite-bearing strata of the unweathered Gipskeuper .","replaced sentence is : The findings suggest that in certain situations after tunnel excavation , depending on geological and changing hydraulic conditions , the excavation damaged zone around the tunnel provides a hydraulic short circuit between the weathered Gipskeuper and the StratigraphicGroupType of the unweathered Gipskeuper ."
