Source sentence,Answer sentence
input : An attempt has been made for the first time in this region to appreciate the quality and / or the suitability of shallow and deep groundwater for drinking and irrigation .,output : An attempt has been made for the first time in this region to appreciate the quality and / or the suitability of GroundwaterType for drinking and irrigation .
input : A preliminary hydrochemical characterization shows that most of the groundwater samples fall in the field of calcium-magnesium-chloride-sulphate type of water .,output : A preliminary hydrochemical characterization shows that most of the groundwater samples fall in the field of HydrochemicalType type of water .
"input : Additionally , calcite precipitation , dolomite and gypsum dissolution take place .","output : Additionally , calcite precipitation , dolomite and gypsum dissolution take place ."
"input : The computed groundwater quality index ( WQI ) falls into two categories: fair for almost all the Miocene groundwater samples , while the Quaternary groundwater samples are all have a good quality .","output : The computed groundwater quality index ( WQI ) falls into two categories: fair for almost all the GroundwaterType samples , while the GroundwaterType samples are all have a good quality ."
"input : The results indicated that the hydrochemical facies of the groundwater samples are classified to be Na-HCO3 , to a lesser extent , Ca-HCO3 and MgHCO3 .","output : The results indicated that the hydrochemical facies of the groundwater samples are classified to be HydrochemicalType , to a lesser extent , HydrochemicalType and HydrochemicalType ."
"input : Based on Nemerow pollution index , 55% and 26% of samples from the FA and SA are suffered litter pollution , respectively .","output : Based on Nemerow pollution index , 55% and 26% of samples from the FA and SA are suffered litter pollution , respectively ."
"input : The groundwater nitrate levels tend to increase with the estimated N loadings , and the groundwater pH generally decreases with increasing nitrate levels .","output : The groundwater nitrate levels tend to increase with the estimated N loadings , and the groundwater pH generally decreases with increasing nitrate levels ."
input : The groundwater discharges onto land surface through high-yield springs .,output : The groundwater discharges onto land surface through high-yield springs .
"input : Confinement is related to tufa layers , detected both by drilling and reflection seismology .","output : Confinement is related to RockType layers , detected both by drilling and reflection seismology ."
input : The five key indicators of the chemical evolution of these basalt-hosted groundwaters have been used in a rating-based classification scheme .,output : The five key indicators of the chemical evolution of these GroundwaterType have been used in a rating-based classification scheme .
"input : Two main hydrochemical facies are recognized : Ca-Mg-HCO3 , and Na-HCO3 types .","output : Two main hydrochemical facies are recognized : HydrochemicalType , and HydrochemicalType types ."
input : Zones with a strong clogging capacity correspond to the zones with slow transit groundwater .,output : Zones with a strong clogging capacity correspond to the zones with GroundwaterType .
"input : Furthermore , the concentration of NO3- in phreatic water is significantly higher than that of confined water .","output : Furthermore , the concentration of NO3- in GroundwaterType is significantly higher than that of GroundwaterType ."
"input : In RV , the water interacts with dolomite rocks and gypsum layers , whereas in CC the dolomite content is depleted and the influence of limestone rocks increases .","output : In RV , the water interacts with RockType and gypsum layers , whereas in CC the dolomite content is depleted and the influence of RockType increases ."
input : The shallow groundwater samples were collected to analyze the spatial distributions of hydrochemical characteristics .,output : The GroundwaterType samples were collected to analyze the spatial distributions of hydrochemical characteristics .
input : Preliminary mass balance modelling suggests that between 10 and 38% of groundwater volume was due to leakage of aquitard pore waters .,output : Preliminary mass balance modelling suggests that between 10 and 38% of groundwater volume was due to leakage of aquitard GroundwaterType .
input : Sixty-one soaking experiments were carried out with granodiorite and trachyandesite grains of different sizes and three chemically-distinct waters for 6 to 168 h .,output : Sixty-one soaking experiments were carried out with RockType and RockType grains of different sizes and three chemically-distinct waters for 6 to 168 h .
input : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during Middle Holocene to Recent age .,output : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during GeologicAge to Recent age .
"input : The results show that geologically the study location is an area located in three types of geological formations , namely the Idi Formation , Young Alluvium , and the Olim Volcano .","output : The results show that geologically the study location is an area located in three types of geological formations , namely the StratigraphicGroupType , Young Alluvium , and the Olim Volcano ."
"input : The geology is characterized by a thick sequence of Neogene marls alternating with sandstones , overlain by superficial Quaternary deposits .","output : The geology is characterized by a thick sequence of GeologicAge RockType alternating with RockType , overlain by superficial GeologicAge deposits ."
"input : The terrain is built of karstified carbonate rocks , mostly of the Cretaceous age .","output : The terrain is built of RockType , mostly of the GeologicAge age ."
"input : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and Holocene age , and late Pleistocene age , with a mixing zone .","output : Unreactive tracers , mainly stable isotope ratios O-18 and H-2 , as well as C isotopes are used to define a time-scale for the aquifer , showing two groups of groundwater , namely of modern and GeologicAge age , and GeologicAge age , with a mixing zone ."
"input : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving overlying or basement formations , or of mixing with Permian waters .","output : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving StratigraphicGroupType , or of mixing with GeologicAge waters ."
"input : From a geological point of view , the study area is characterized by the formation of sedimentary outcrops which predominantly corresponds to Mio-Plio-Quaternary formations .","output : From a geological point of view , the study area is characterized by the formation of sedimentary outcrops which predominantly corresponds to StratigraphicGroupType ."
"input : Moreover , groundwater presents different kinds of natural contamination such as high fluoride concentration ( almost everywhere >1.5 mg / L ) and high arsenic concentration in the zones related to volcanic formations and , in some sectors , high sulphates deriving from present and / or past hydrothermal conditions .","output : Moreover , groundwater presents different kinds of natural contamination such as high fluoride concentration ( almost everywhere >1.5 mg / L ) and high arsenic concentration in the zones related to StratigraphicGroupType and , in some sectors , high sulphates deriving from present and / or past hydrothermal conditions ."
"input : It appears that a key mechanism for arsenic mobilizing to deep wells is microbial biodegradation of petroleum related organic matters ( PROMs ) , which exist in aquifer sediments and originates from the bedrock of the aquifer ( Gachsaran Formation ) .","output : It appears that a key mechanism for arsenic mobilizing to deep wells is microbial biodegradation of petroleum related organic matters ( PROMs ) , which exist in aquifer sediments and originates from the bedrock of the aquifer ( StratigraphicGroupType ) ."
"input : Hydrologically speaking , the aquifer unit is composed of the Punta Medanos Formation , the Mar de Ajo Facies and the upper section of the Destacamento Rio Salado Facies , while the clayey levels act as an aquitard / aquiclude .","output : Hydrologically speaking , the aquifer unit is composed of the StratigraphicGroupType , the Mar de Ajo Facies and the upper section of the Destacamento Rio Salado Facies , while the clayey levels act as an aquitard / aquiclude ."
input : It corresponds to an old end-member in relation with palaeoclimatic recharge which occurred during the Late Pleistocene and the Early Holocene humid periods .,output : It corresponds to an old end-member in relation with palaeoclimatic recharge which occurred during the GeologicAge and the GeologicAge humid periods .
input : This is interpreted as evidence for additional non-brine salinization input probably from the surrounding sediments of the Lisan Formation .,output : This is interpreted as evidence for additional non-brine salinization input probably from the surrounding sediments of the StratigraphicGroupType .
input : Two water-bearing layers exist in the study area : the Nubian Sandstone Formation and the Al-Atshan Formation .,output : Two water-bearing layers exist in the study area : the StratigraphicGroupType and the StratigraphicGroupType .
"input : On the other hand , the deepening of the flow component drained by the tapped Ca-SO4 ( HCO3 ) spring may lead to the dissolution of gypsum / anhydrite layers , thus producing water enriched in SO4 and Sr .","output : On the other hand , the deepening of the flow component drained by the tapped HydrochemicalType spring may lead to the dissolution of gypsum / anhydrite layers , thus producing water enriched in SO4 and Sr ."
