Source sentence,Answer sentence
replace entity to label : The deep confined groundwater samples are significantly less impacted by surface activities .,replaced sentence is : The HydrochemicalType samples are significantly less impacted by surface activities .
"replace entity to label : i ) post-seismic groundwater of Tempera spring group was more mineralised and richer in Rn-222 than the pre-seismic one ; ii ) transient changes in pH and calcite saturation index involve the whole aquifer , moving from Tempera springs and spreading from the recharge to discharge areas , causing changes in groundwater hydrochemistry ; iii ) post-seismic gradual return to previous hydrochemical equilibrium .","replaced sentence is : i ) post-seismic groundwater of GeologicAge was more mineralised and richer in Rn-222 than the pre-seismic one ; ii ) transient changes in pH and calcite saturation index involve the whole aquifer , moving from Tempera springs and spreading from the recharge to discharge areas , causing changes in groundwater hydrochemistry ; iii ) post-seismic gradual return to previous hydrochemical equilibrium ."
"replace entity to label : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving overlying or basement formations , or of mixing with Permian waters .","replaced sentence is : The major difference in terms of baseline evolution is observed using Cl and Na concentration and , locally , SO4 , indicating an increasing influence of water circulation involving GeologicAge , or of mixing with Location waters ."
replace entity to label : This work aims to evaluate the hydrochemical characteristics of an aquifer located between carbonated formations and salt lake ( Garaat Ettarf ) .,replaced sentence is : This work aims to evaluate the hydrochemical characteristics of an aquifer located between GeologicAge and salt lake ( Garaat Ettarf ) .
"replace entity to label : The findings suggest that in certain situations after tunnel excavation , depending on geological and changing hydraulic conditions , the excavation damaged zone around the tunnel provides a hydraulic short circuit between the weathered Gipskeuper and the anhydrite-bearing strata of the unweathered Gipskeuper .","replaced sentence is : The findings suggest that in certain situations after tunnel excavation , depending on geological and changing hydraulic conditions , the excavation damaged zone around the tunnel provides a hydraulic short circuit between the weathered Gipskeuper and the GeologicAge of the unweathered Gipskeuper ."
replace entity to label : It investigates the hydrogeological situation of four zones in this tunnel crossing the Triassic Gipskeuper formation .,replaced sentence is : It investigates the hydrogeological situation of four zones in this tunnel crossing the GeologicAge .
"replace entity to label : No groundwaters from Quaternary deposits exceed maximum recommended concentrations for Rn , F- and Na , while 10% fall outside the required pH range .","replaced sentence is : No groundwaters from Location deposits exceed maximum recommended concentrations for Rn , F- and Na , while 10% fall outside the required pH range ."
replace entity to label : It corresponds to an old end-member in relation with palaeoclimatic recharge which occurred during the Late Pleistocene and the Early Holocene humid periods .,replaced sentence is : It corresponds to an old end-member in relation with palaeoclimatic recharge which occurred during the Location and the Location humid periods .
replace entity to label : The aquifer system is more complex than presumed as the hydrochemical and stable isotope compositions of groundwater samples in the Middle-Upper Pleistocene ( qp ( 2-3 ) ) aquifer differ significantly in lateral direction .,replaced sentence is : The aquifer system is more complex than presumed as the hydrochemical and stable isotope compositions of groundwater samples in the Location ( qp ( 2-3 ) ) aquifer differ significantly in lateral direction .
replace entity to label : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during Middle Holocene to Recent age .,replaced sentence is : Arsenic contamination ( max 620 mu g / l ) is confined in hand pump zones ( 15-35 m ) within the newer alluvium deposited during Location to Recent age .
"replace entity to label : Although As enrichment in Quaternary deposits has been linked to primary provenances ( Himalayan orogeny ) , limited studies have reported As enrichment in bedrock aquifers .","replaced sentence is : Although As enrichment in Location deposits has been linked to primary provenances ( Himalayan orogeny ) , limited studies have reported As enrichment in bedrock aquifers ."
"replace entity to label : Using Rn-222 as part of the signatures , EMMA helped to identify end-member samples , and to quantify the mixing proportions of water from the Triassic and the Deep Miocene layers in groundwater pumped by deep agricultural wells screened in the Jurassic .","replaced sentence is : Using Rn-222 as part of the signatures , EMMA helped to identify end-member samples , and to quantify the mixing proportions of water from the Location and the Location layers in groundwater pumped by deep agricultural wells screened in the Location ."
